mqtt.js:7 {1: 0, 2: 1, 3: 2, 4: 3, 5: 4, 6: 5}
mqtt.js:15 4 1684347621173 {id: '4', acc_x: 36.23384857, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128434911, …}
mqtt.js:15 1 1684347621198 {id: '1', acc_x: 28.98181152, acc_y: -78.45320129, acc_z: 4.237737179, rot_x: 0.087666154, …}
mqtt.js:15 6 1684347621227 {id: '6', acc_x: -23.77681732, acc_y: -9.794678688, acc_z: -0.809240162, rot_x: 0.053026035, …}
mqtt.js:15 5 1684347621241 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621272 {id: '6', acc_x: -23.7744236, acc_y: -9.789890289, acc_z: -0.81881696, rot_x: 0.05249311, …}
mqtt.js:15 5 1684347621297 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621328 {id: '6', acc_x: -23.77202797, acc_y: -9.789890289, acc_z: -0.811634362, rot_x: 0.053026035, …}
mqtt.js:15 3 1684347621354 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621389 {id: '6', acc_x: -23.76005745, acc_y: -9.794678688, acc_z: -0.81642276, rot_x: 0.054358348, …}
mqtt.js:15 3 1684347621413 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621439 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.811634362, rot_x: 0.057022974, …}
mqtt.js:15 2 1684347621453 {id: '2', acc_x: 0.04070143, acc_y: 0.318428814, acc_z: 9.588777542, rot_x: -0.025846859, …}
mqtt.js:15 6 1684347621494 {id: '6', acc_x: -23.76724052, acc_y: -9.799467087, acc_z: -0.806845963, rot_x: 0.057822358, …}
mqtt.js:15 4 1684347621516 {id: '4', acc_x: 35.93696594, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128168449, …}
mqtt.js:15 1 1684347621533 {id: '1', acc_x: 28.94829369, acc_y: -78.45320129, acc_z: 4.228160381, rot_x: 0.085267991, …}
mqtt.js:15 6 1684347621547 {id: '6', acc_x: -23.75766373, acc_y: -9.794678688, acc_z: -0.799663365, rot_x: 0.056223582, …}
mqtt.js:15 1 1684347621581 {id: '1', acc_x: 28.92674446, acc_y: -78.45320129, acc_z: 4.223371983, rot_x: 0.084202148, …}
mqtt.js:15 6 1684347621602 {id: '6', acc_x: -23.76245117, acc_y: -9.792284966, acc_z: -0.806845963, rot_x: 0.055690661, …}
mqtt.js:15 5 1684347621643 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621657 {id: '6', acc_x: -23.76005745, acc_y: -9.794678688, acc_z: -0.809240162, rot_x: 0.056490045, …}
mqtt.js:15 5 1684347621699 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621718 {id: '6', acc_x: -23.7648468, acc_y: -9.792284966, acc_z: -0.81642276, rot_x: 0.05808882, …}
mqtt.js:15 3 1684347621753 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347621767 {id: '6', acc_x: -23.77202797, acc_y: -9.794678688, acc_z: -0.81642276, rot_x: 0.059421133, …}
mqtt.js:15 2 1684347621800 {id: '2', acc_x: 0.062249243, acc_y: 0.313640416, acc_z: 9.562441826, rot_x: -0.026379786, …}
mqtt.js:15 6 1684347621822 {id: '6', acc_x: -23.76245117, acc_y: -9.782708168, acc_z: -0.804451764, rot_x: 0.058888208, …}
mqtt.js:15 4 1684347621855 {id: '4', acc_x: 35.27856064, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127369061, …}
mqtt.js:15 6 1684347621879 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.804451764, rot_x: 0.058621746, …}
mqtt.js:15 4 1684347621910 {id: '4', acc_x: 35.24504471, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126569673, …}
mqtt.js:15 1 1684347621926 {id: '1', acc_x: 28.95787048, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.082869835, …}
mqtt.js:15 6 1684347621937 {id: '6', acc_x: -23.76005745, acc_y: -9.799467087, acc_z: -0.81642276, rot_x: 0.058621746, …}
mqtt.js:15 1 1684347621990 {id: '1', acc_x: 28.96265793, acc_y: -78.45320129, acc_z: 4.237737179, rot_x: 0.084202148, …}
mqtt.js:15 6 1684347621991 {id: '6', acc_x: -23.75766373, acc_y: -9.799467087, acc_z: -0.804451764, rot_x: 0.059421133, …}
mqtt.js:15 6 1684347622053 {id: '6', acc_x: -23.75766373, acc_y: -9.799467087, acc_z: -0.799663365, rot_x: 0.058888208, …}
mqtt.js:15 1 1684347622053 {id: '1', acc_x: 28.95308113, acc_y: -78.45320129, acc_z: 4.228160381, rot_x: 0.083402753, …}
mqtt.js:15 5 1684347622064 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347622094 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622097 {id: '6', acc_x: -23.75527, acc_y: -9.789890289, acc_z: -0.809240162, rot_x: 0.058355279, …}
mqtt.js:15 2 1684347622139 {id: '2', acc_x: 0.064643443, acc_y: 0.313640416, acc_z: 9.58638382, rot_x: -0.024514547, …}
mqtt.js:15 6 1684347622153 {id: '6', acc_x: -23.75048065, acc_y: -9.792284966, acc_z: -0.81642276, rot_x: 0.058355279, …}
mqtt.js:15 2 1684347622195 {id: '2', acc_x: 0.074220255, acc_y: 0.318428814, acc_z: 9.593565941, rot_x: -0.026646247, …}
mqtt.js:15 6 1684347622207 {id: '6', acc_x: -23.7648468, acc_y: -9.789890289, acc_z: -0.823605359, rot_x: 0.059421133, …}
mqtt.js:15 4 1684347622261 {id: '4', acc_x: 35.10139084, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125503823, …}
mqtt.js:15 6 1684347622263 {id: '6', acc_x: -23.75527, acc_y: -9.792284966, acc_z: -0.821211159, rot_x: 0.059954058, …}
mqtt.js:15 4 1684347622309 {id: '4', acc_x: 34.89309692, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.124970905, …}
mqtt.js:15 6 1684347622317 {id: '6', acc_x: -23.74569321, acc_y: -9.794678688, acc_z: -0.799663365, rot_x: 0.059954058, …}
mqtt.js:15 4 1684347622365 {id: '4', acc_x: 34.61297226, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125770286, …}
mqtt.js:15 6 1684347622379 {id: '6', acc_x: -23.76005745, acc_y: -9.797073364, acc_z: -0.811634362, rot_x: 0.059154671, …}
mqtt.js:15 1 1684347622389 {id: '1', acc_x: 28.96026421, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.08207044, …}
mqtt.js:15 5 1684347622407 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622428 {id: '6', acc_x: -23.76005745, acc_y: -9.792284966, acc_z: -0.802057564, rot_x: 0.058355279, …}
mqtt.js:15 3 1684347622450 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622483 {id: '6', acc_x: -23.74808693, acc_y: -9.792284966, acc_z: -0.81881696, rot_x: 0.058621746, …}
mqtt.js:15 3 1684347622500 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622540 {id: '6', acc_x: -23.76005745, acc_y: -9.799467087, acc_z: -0.814028561, rot_x: 0.060486984, …}
mqtt.js:15 2 1684347622544 {id: '2', acc_x: 0.059855044, acc_y: 0.325611442, acc_z: 9.562441826, rot_x: -0.02797856, …}
mqtt.js:15 6 1684347622593 {id: '6', acc_x: -23.76724052, acc_y: -9.804255486, acc_z: -0.811634362, rot_x: 0.060486984, …}
mqtt.js:15 2 1684347622593 {id: '2', acc_x: 0.064643443, acc_y: 0.33279404, acc_z: 9.569623947, rot_x: -0.023981623, …}
mqtt.js:15 6 1684347622648 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.806845963, rot_x: 0.057822358, …}
mqtt.js:15 2 1684347622648 {id: '2', acc_x: 0.059855044, acc_y: 0.318428814, acc_z: 9.603142738, rot_x: -0.023981623, …}
mqtt.js:15 6 1684347622702 {id: '6', acc_x: -23.75287437, acc_y: -9.792284966, acc_z: -0.81642276, rot_x: 0.057022974, …}
mqtt.js:15 4 1684347622707 {id: '4', acc_x: 34.3807373, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126303226, …}
mqtt.js:15 1 1684347622740 {id: '1', acc_x: 28.96744728, acc_y: -78.45320129, acc_z: 4.220977783, rot_x: 0.081537522, …}
mqtt.js:15 5 1684347622762 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622763 {id: '6', acc_x: -23.76005745, acc_y: -9.792284966, acc_z: -0.799663365, rot_x: 0.057555895, …}
mqtt.js:15 5 1684347622808 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622812 {id: '6', acc_x: -23.75287437, acc_y: -9.792284966, acc_z: -0.806845963, rot_x: 0.059154671, …}
mqtt.js:15 3 1684347622847 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622867 {id: '6', acc_x: -23.75766373, acc_y: -9.799467087, acc_z: -0.81642276, rot_x: 0.058355279, …}
mqtt.js:15 3 1684347622898 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622924 {id: '6', acc_x: -23.77202797, acc_y: -9.801861763, acc_z: -0.814028561, rot_x: 0.056490045, …}
mqtt.js:15 3 1684347622960 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347622985 {id: '6', acc_x: -23.76005745, acc_y: -9.799467087, acc_z: -0.809240162, rot_x: 0.054624807, …}
mqtt.js:15 2 1684347622999 {id: '2', acc_x: 0.04309563, acc_y: 0.308852017, acc_z: 9.581595421, rot_x: -0.026646247, …}
mqtt.js:15 6 1684347623032 {id: '6', acc_x: -23.76963425, acc_y: -9.794678688, acc_z: -0.830788016, rot_x: 0.054624807, …}
mqtt.js:15 4 1684347623054 {id: '4', acc_x: 34.32566833, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126836136, …}
mqtt.js:15 1 1684347623082 {id: '1', acc_x: 28.94589806, acc_y: -78.45320129, acc_z: 4.216189384, rot_x: 0.086333841, …}
mqtt.js:15 6 1684347623087 {id: '6', acc_x: -23.7744236, acc_y: -9.797073364, acc_z: -0.81642276, rot_x: 0.056223582, …}
mqtt.js:15 6 1684347623145 {id: '6', acc_x: -23.76724052, acc_y: -9.801861763, acc_z: -0.802057564, rot_x: 0.05808882, …}
mqtt.js:15 5 1684347623152 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
