mqtt.js:5 s1: {"acc_x":0.878672004,"acc_y":3.12203908,"acc_z":11.65257931,"rot_x":-0.089797854,"rot_y":1.036006093,"rot_z":-0.321087271}
mqtt.js:5 s1: {"acc_x":1.271321058,"acc_y":2.8993783,"acc_z":11.18092155,"rot_x":0.015721286,"rot_y":0.910502255,"rot_z":-0.251540571}
mqtt.js:5 s1: {"acc_x":1.369483352,"acc_y":2.748543501,"acc_z":10.55364132,"rot_x":0.092995405,"rot_y":0.703993857,"rot_z":-0.069013782}
mqtt.js:5 s1: {"acc_x":1.81959331,"acc_y":2.485181332,"acc_z":9.730035782,"rot_x":0.126836136,"rot_y":0.642441094,"rot_z":0.019718224}
mqtt.js:5 s1: {"acc_x":2.00873518,"acc_y":2.497152328,"acc_z":9.03571701,"rot_x":0.05489127,"rot_y":0.485228181,"rot_z":0.113246553}
mqtt.js:5 s1: {"acc_x":1.903390408,"acc_y":2.219424963,"acc_z":8.61912632,"rot_x":-0.036238898,"rot_y":0.308030635,"rot_z":0.083402753}
mqtt.js:5 s1: {"acc_x":1.508347034,"acc_y":1.97042799,"acc_z":8.245630264,"rot_x":-0.082869835,"rot_y":0.295773357,"rot_z":-0.127901986}
mqtt.js:5 s1: {"acc_x":0.926556051,"acc_y":2.037465572,"acc_z":8.003816605,"rot_x":-0.112447165,"rot_y":0.348799407,"rot_z":-0.09352833}
mqtt.js:5 s1: {"acc_x":0.924161851,"acc_y":2.059013367,"acc_z":7.874529362,"rot_x":0.023981623,"rot_y":0.35945788,"rot_z":0.105785601}
mqtt.js:5 s1: {"acc_x":1.601720929,"acc_y":2.049436569,"acc_z":7.759607792,"rot_x":0.004796324,"rot_y":0.284848392,"rot_z":0.095127106}
mqtt.js:5 s1: {"acc_x":1.881842494,"acc_y":1.977610588,"acc_z":7.855375767,"rot_x":0.060220521,"rot_y":0.126569673,"rot_z":0.115378261}
mqtt.js:5 s1: {"acc_x":1.790862918,"acc_y":1.891419291,"acc_z":8.097189903,"rot_x":-0.068480857,"rot_y":-0.088465542,"rot_z":0.148952529}
mqtt.js:5 s1: {"acc_x":1.584961534,"acc_y":1.977610588,"acc_z":8.51617527,"rot_x":-0.200379789,"rot_y":-0.292575806,"rot_z":0.201445624}
mqtt.js:5 s1: {"acc_x":1.470039845,"acc_y":1.97042799,"acc_z":9.169792175,"rot_x":-0.288045943,"rot_y":-0.441261858,"rot_z":0.168670759}
mqtt.js:5 s1: {"acc_x":1.426944256,"acc_y":2.061407566,"acc_z":9.835380554,"rot_x":-0.270192951,"rot_y":-0.629117966,"rot_z":0.22702603}
mqtt.js:5 s1: {"acc_x":1.838746905,"acc_y":2.173935175,"acc_z":10.39801788,"rot_x":-0.205975503,"rot_y":-0.732505381,"rot_z":0.318689138}
mqtt.js:5 s1: {"acc_x":1.963245392,"acc_y":2.145204782,"acc_z":11.41555405,"rot_x":-0.091663092,"rot_y":-0.926490009,"rot_z":0.353062779}
mqtt.js:5 s1: {"acc_x":2.049436569,"acc_y":2.564189911,"acc_z":11.93270111,"rot_x":0.036771823,"rot_y":-1.114346027,"rot_z":0.345868289}
mqtt.js:5 s1: {"acc_x":0.974440098,"acc_y":3.08133769,"acc_z":12.61744308,"rot_x":-0.010658499,"rot_y":-1.275555849,"rot_z":0.268594176}
mqtt.js:5 s1: {"acc_x":0.395043284,"acc_y":3.224989653,"acc_z":12.99093819,"rot_x":-0.118309341,"rot_y":-1.268094897,"rot_z":0.213169977}
mqtt.js:5 s1: {"acc_x":0.691924274,"acc_y":3.311181068,"acc_z":13.08191776,"rot_x":-0.202245027,"rot_y":-1.313926458,"rot_z":0.365053594}
mqtt.js:5 s1: {"acc_x":0.823605359,"acc_y":3.217807055,"acc_z":13.41471195,"rot_x":-0.273124039,"rot_y":-1.357626438,"rot_z":0.383439511}
mqtt.js:5 s1: {"acc_x":0.687135875,"acc_y":3.325546265,"acc_z":13.32373238,"rot_x":-0.170269519,"rot_y":-1.424774885,"rot_z":0.122572735}
mqtt.js:5 s1: {"acc_x":0.093373865,"acc_y":3.454833031,"acc_z":12.96220779,"rot_x":-0.070346095,"rot_y":-1.399727345,"rot_z":0.119375192}
mqtt.js:5 s1: {"acc_x":-0.37349546,"acc_y":3.440467834,"acc_z":12.42590714,"rot_x":-0.042900458,"rot_y":-1.350698352,"rot_z":0.200113311}
mqtt.js:5 s1: {"acc_x":-0.189141929,"acc_y":3.548206806,"acc_z":11.67412758,"rot_x":-0.031709034,"rot_y":-1.188689113,"rot_z":0.243280247}
mqtt.js:5 s1: {"acc_x":-0.225054964,"acc_y":3.404554844,"acc_z":11.05881786,"rot_x":0.112180702,"rot_y":-1.016287923,"rot_z":0.232355282}
mqtt.js:5 s1: {"acc_x":-0.20350714,"acc_y":3.15795207,"acc_z":10.22563553,"rot_x":0.148153126,"rot_y":-0.755687594,"rot_z":0.147886679}
mqtt.js:5 s1: {"acc_x":0.287304193,"acc_y":2.999934673,"acc_z":9.562441826,"rot_x":0.171335369,"rot_y":-0.566499233,"rot_z":0.356260329}
mqtt.js:5 s1: {"acc_x":1.403002143,"acc_y":2.894589901,"acc_z":8.927978516,"rot_x":-0.046098009,"rot_y":-0.500949442,"rot_z":0.343470156}
mqtt.js:5 s1: {"acc_x":1.37666595,"acc_y":2.784456491,"acc_z":8.540117264,"rot_x":-0.053026035,"rot_y":-0.50068301,"rot_z":0.259267986}
mqtt.js:5 s1: {"acc_x":0.545877993,"acc_y":2.63601613,"acc_z":8.192957878,"rot_x":0.058888208,"rot_y":-0.466309339,"rot_z":-0.050894335}
mqtt.js:5 s1: {"acc_x":-0.653617084,"acc_y":2.770091295,"acc_z":7.735665798,"rot_x":0.103920363,"rot_y":-0.359724343,"rot_z":-0.229957119}
mqtt.js:5 s1: {"acc_x":-1.185129881,"acc_y":2.808398485,"acc_z":7.419631004,"rot_x":0.031176111,"rot_y":-0.069013782,"rot_z":-0.226226643}
mqtt.js:5 s1: {"acc_x":-0.656011283,"acc_y":2.906560898,"acc_z":7.350199223,"rot_x":-0.064217456,"rot_y":0.16573967,"rot_z":-0.110581927}
mqtt.js:5 s1: {"acc_x":0.40940848,"acc_y":2.966415882,"acc_z":7.505822182,"rot_x":-0.199580401,"rot_y":0.229424208,"rot_z":-0.117509954}
mqtt.js:5 s1: {"acc_x":0.684741676,"acc_y":2.703053713,"acc_z":8.212111473,"rot_x":0.106584989,"rot_y":0.261133224,"rot_z":-0.270459414}
mqtt.js:5 s1: {"acc_x":-0.533906996,"acc_y":3.059789658,"acc_z":8.43956089,"rot_x":0.127635539,"rot_y":0.470039815,"rot_z":-0.414082706}
mqtt.js:5 s1: {"acc_x":-0.493205547,"acc_y":3.478775024,"acc_z":8.801085472,"rot_x":0.22596018,"rot_y":0.606735051,"rot_z":-0.196915776}
mqtt.js:5 s1: {"acc_x":-0.138863698,"acc_y":3.833117008,"acc_z":9.370905876,"rot_x":-0.022649311,"rot_y":0.673084199,"rot_z":-0.212903515}
mqtt.js:5 s1: {"acc_x":0.117315881,"acc_y":3.622427225,"acc_z":10.22324085,"rot_x":-0.300303191,"rot_y":0.800719738,"rot_z":-0.314958632}
mqtt.js:5 s1: {"acc_x":0.524330199,"acc_y":3.651157618,"acc_z":11.24556541,"rot_x":-0.145754978,"rot_y":1.0586555,"rot_z":-0.368251175}
mqtt.js:5 s1: {"acc_x":0.543483794,"acc_y":3.895366192,"acc_z":11.86087513,"rot_x":-0.086600304,"rot_y":1.150585055,"rot_z":-0.471905053}
mqtt.js:5 s1: {"acc_x":0.579396784,"acc_y":4.134786129,"acc_z":12.28225517,"rot_x":0.022915773,"rot_y":1.193218946,"rot_z":-0.290977001}
mqtt.js:5 s1: {"acc_x":0.861912608,"acc_y":4.261679173,"acc_z":12.59110641,"rot_x":-0.24674426,"rot_y":1.192153096,"rot_z":-0.262199074}
mqtt.js:5 s1: {"acc_x":1.079784989,"acc_y":4.189853191,"acc_z":13.15135002,"rot_x":-0.029310873,"rot_y":1.251574278,"rot_z":-0.314159274}
mqtt.js:5 s1: {"acc_x":1.41018486,"acc_y":4.077325344,"acc_z":13.22078133,"rot_x":0.097791731,"rot_y":1.317390561,"rot_z":-0.402358323}
mqtt.js:5 s1: {"acc_x":1.647210717,"acc_y":4.249708176,"acc_z":12.61265469,"rot_x":0.071145482,"rot_y":1.309929609,"rot_z":-0.338140905}
mqtt.js:5 s1: {"acc_x":1.735796213,"acc_y":4.01747036,"acc_z":12.52646351,"rot_x":-0.068747319,"rot_y":1.210805535,"rot_z":-0.262731999}
mqtt.js:5 s1: {"acc_x":1.848323703,"acc_y":3.871424198,"acc_z":12.05719948,"rot_x":-0.088465542,"rot_y":1.148719788,"rot_z":-0.394364446}
mqtt.js:5 s1: {"acc_x":1.798045516,"acc_y":3.708618402,"acc_z":11.6908865,"rot_x":0.089531392,"rot_y":0.897712111,"rot_z":-0.087399691}
mqtt.js:5 s1: {"acc_x":2.135627985,"acc_y":3.299209833,"acc_z":10.57758331,"rot_x":-0.124437973,"rot_y":0.791127086,"rot_z":-0.049295556}
mqtt.js:5 s1: {"acc_x":2.128445387,"acc_y":2.719813108,"acc_z":10.53209305,"rot_x":0.000532925,"rot_y":0.748493135,"rot_z":-0.099656969}
mqtt.js:5 s1: {"acc_x":2.501940727,"acc_y":2.760514498,"acc_z":9.533711433,"rot_x":0.183326185,"rot_y":0.692003012,"rot_z":-0.051960181}
mqtt.js:5 s1: {"acc_x":2.499546528,"acc_y":2.521094322,"acc_z":8.992621422,"rot_x":0.187056661,"rot_y":0.51000917,"rot_z":0.082869835}
mqtt.js:5 s1: {"acc_x":2.501940727,"acc_y":2.475604534,"acc_z":8.449137688,"rot_x":0.069546707,"rot_y":0.33760795,"rot_z":0.070346095}
mqtt.js:5 s1: {"acc_x":2.173935175,"acc_y":2.33913517,"acc_z":7.951143742,"rot_x":-0.018918836,"rot_y":0.216367543,"rot_z":0.112180702}
